accX,accY,accZ,gyrX,gyrY,gyrZ,label,scaled_gx,scaled_gy,scaled_gz
-15276,1648,1620,19414,8560,-11380,walking,0.592492561,0.385695644,-0.248079594
-15300,4108,11112,1168,8797,1029,walking,0.035660334,0.395513577,0.188173461
-13016,3088,972,12736,-7308,-2675,walking,0.388693065,-0.2716502,0.057954965
-13512,2628,1936,5193,-4030,1470,walking,0.15849546,-0.135856169,0.203677337
-16620,2876,1544,13501,-4136,3304,walking,0.412039368,-0.140247312,0.268153773
-20300,2848,1412,26614,-3438,3072,walking,0.812222477,-0.111332049,0.259997539
-10784,-108,1104,10602,9677,2169,walking,0.323567559,0.431968351,0.228251507
-18512,2252,1436,9821,8236,-1568,walking,0.299732967,0.372273659,0.096872858
-14088,1844,2036,6894,6331,-2941,walking,0.210406653,0.29335736,0.048603421
-16092,3288,2872,8724,847,-4634,walking,0.266254673,0.066177841,-0.010915994
-15400,2272,1812,3456,-5523,5204,walking,0.105485618,-0.197705006,0.334950518
-17988,3296,2352,12301,-15914,12214,walking,0.375417716,-0.628161312,0.581395349
-18100,2160,1856,15105,-16743,13853,walking,0.460990311,-0.662503366,0.63901633
-16920,160,756,11571,-18077,15434,walking,0.353139544,-0.717765488,0.694598253
-16816,-420,160,13763,-12797,9006,walking,0.420035096,-0.499036848,0.468614319
